"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes","change"
"HAP1",613.768076386366,3.69070229547891,0.57329634010378,6.43768682495131,1.21307966041551e-10,4.09064892179521e-09,"HAP1","Up"
"CCL20",3642.14233575728,3.68529318063424,0.554616183623628,6.64476315234094,3.03705044023057e-11,1.17731130527058e-09,"CCL20","Up"
"DUSP9",388.405601075041,3.6561915121802,0.608760510490787,6.00596038864701,1.90202627886597e-09,4.93656090861037e-08,"DUSP9","Up"
"HOXC11",378.457693353964,3.65504923629087,0.435921635749479,8.38464746079133,5.08780045223824e-17,6.54630324854653e-15,"HOXC11","Up"
"SLC5A12",338.169924434128,3.65046412895891,0.499857528324499,7.30300920183219,2.81401929272536e-13,1.65216627859623e-11,"SLC5A12","Up"
"KRT23",1857.61088591417,3.64814520585075,0.647248346670299,5.6363916951171,1.73650160884497e-08,3.4772198882633e-07,"KRT23","Up"
"KREMEN2",626.839092737149,3.64380976955839,0.548727707305929,6.64046980140347,3.12684896022378e-11,1.20953718201236e-09,"KREMEN2","Up"
"SH2D5",369.914184370115,3.6381577126479,0.579460655540124,6.27852413768578,3.41801970693028e-10,1.04218005921226e-08,"SH2D5","Up"
"IDO1",2108.90844187862,3.63781885597194,0.606341284841388,5.99962256722063,1.97776696184874e-09,5.10587235484238e-08,"IDO1","Up"
"IL1A",1749.50171881974,3.63693141639697,0.652131714358224,5.5769890289359,2.44717296517946e-08,4.74322777075702e-07,"IL1A","Up"
"AMTN",527.138394542693,3.6196961844411,0.910077987643944,3.97734725329633,6.96883595936453e-05,0.000489653841885327,"AMTN","Up"
"CYP24A1",1054.25570651565,3.57960260246681,0.691291914255038,5.17813463263826,2.24115477129663e-07,3.44568049668334e-06,"CYP24A1","Up"
"CXCL1",4979.5375956635,3.57763413354333,0.455388647219416,7.85622161507145,3.95894354609082e-15,3.23527719879188e-13,"CXCL1","Up"
"FIBCD1",443.306790404555,3.56760886779393,0.597428271468444,5.9716103809834,2.34923031839422e-09,5.95247715590893e-08,"FIBCD1","Up"
